"{""coordinates"":[[-73.9051744414226,40.6631137463655],[-73.9048793214571,40.6631564744809],[-73.9047862746341,40.6631699457814],[-73.9042129238852,40.663252953116],[-73.9041341268088,40.6632647130648],[-73.9040557874566,40.6632764040015],[-73.9034622285532,40.6633649856502],[-73.9032851893957,40.6633914057935],[-73.902837215639,40.6634573720748],[-73.9027136342315,40.6634755697333],[-73.9023769348782,40.6635251488145]],""type"":""LineString""}",24,Brownsville,Brooklyn,LIVONIA AVENUE,Mother Gaston Blvd,Powell St,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Brownsville,Open Streets,790.464244691,0.149709137252,317.216280111922
"{""coordinates"":[[-73.9023769352292,40.6635251484576],[-73.9014525591177,40.6636666151586]],""type"":""LineString""}",25,Brownsville,Brooklyn,LIVONIA AVENUE,Powell St,Junius St,Full Block,1597363200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Brownsville,Open Streets,261.579560673,0.0495415834608,104.974466868
"{""coordinates"":[[-73.9006786316362,40.6756065237592],[-73.900675178864,40.6755661686754],[-73.9006693426741,40.6754980936639],[-73.9002299208145,40.6738575961445]],""type"":""LineString""}",26,Brownsville,Brooklyn,WILLIAMS AVENUE,Liberty Ave,Atlantic Ave,Full Block,1590192000000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Broadway Junction,Open Streets,649.570473678,0.123024710924,261.655743443981
"{""coordinates"":[[-73.9396913792677,40.6994640471001],[-73.9384854961447,40.7006882497075]],""type"":""LineString""}",27,Bushwick,Brooklyn,Ellery St,Broadway,Beaver St,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Bedford-Stuyvesant,Open Streets,557.431371943,0.105574123474,224.34674450627
"{""coordinates"":[[-73.9404220050274,40.7010848543167],[-73.9405459919675,40.7018063017222]],""type"":""LineString""}",28,Bushwick,Brooklyn,HUMBOLDT STREET,Moore St,Flushing Ave,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Bushwick,Open Streets,265.083451408,0.0502051991303,106.830272451259
"{""coordinates"":[[-73.9405459919675,40.7018063017222],[-73.940600377162,40.7021362153504],[-73.9406213941831,40.7022637063053],[-73.9406771823547,40.7026001970415],[-73.9407662394401,40.7031422899757],[-73.9407808204545,40.7032307259653],[-73.9408942985618,40.7039224135674]],""type"":""LineString""}",29,Bushwick,Brooklyn,HUMBOLDT STREET,Moore St,Flushing Ave,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Williamsburg,Open Streets,776.987848565,0.147156789501,313.139180402401
"{""coordinates"":[[-73.9405039536152,40.7039483655975],[-73.9404061955796,40.7039548645893],[-73.9401435005212,40.7039723288273],[-73.9400067880595,40.7039814174899],[-73.939149754683,40.704038388136],[-73.9388993760256,40.7040547674705],[-73.9386004753714,40.7040748944426]],""type"":""LineString""}",30,Bushwick,Brooklyn,Moore St,Humboldt St,Bushwick Ave,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Bushwick,Open Streets,529.775700851,0.100336306979,212.707294539114
"{""coordinates"":[[-73.9408942988171,40.7039224140102],[-73.9405039536152,40.7039483655975]],""type"":""LineString""}",31,Bushwick,Brooklyn,Moore St,Humboldt St,Bushwick Ave,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Williamsburg,Open Streets,108.641040007,0.0205759545469,43.6198101019943
"{""coordinates"":[[-73.9245874088073,40.7048332986916],[-73.9228649077798,40.7065838516445],[-73.9217671895407,40.7076606811048]],""type"":""LineString""}",32,Bushwick,Brooklyn,Troutman St,Irving Ave,St. Nicholas Ave,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Bushwick,Open Streets,1293.29761307,0.244942729748,520.54369478907
"{""coordinates"":[[-73.9061295340468,40.6785964978323],[-73.9060517208429,40.6783022272778],[-73.9059722834537,40.6780204715115]],""type"":""LineString""}",33,Callahan-Kelly,Brooklyn,Sackman St,Truxton St,Fulton St,Full Block,1588377600000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Ocean Hill,Open Streets,214.351899333,0.0405969506312,86.3472035401432
"{""coordinates"":[[-73.9066593698372,40.817180981283],[-73.9062425615896,40.8181658402836]],""type"":""LineString""}",34,Captain Rivera Playground,Bronx,FOREST AVENUE,E 156th St,Westchester Ave,Full Block,1593043200000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Melrose,Open Streets,376.910384287,0.0713845424787,152.115587953428
"{""coordinates"":[[-73.9461961698015,40.7729933336145],[-73.945965614873,40.7733076652885],[-73.9459244950075,40.7733637259666],[-73.9457297314367,40.7736293421939],[-73.945268222779,40.7742598238144],[-73.9447669405073,40.7749436158467],[-73.9442795403839,40.77561559707],[-73.943819566649,40.7762455028234],[-73.9437145225474,40.7763958333029],[-73.9433804970851,40.7768760457772]],""type"":""LineString""}",35,Carl Schurz Park,Manhattan,East End Ave,E 83rd St,E 89th St,Full Block,1588377600000,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,Upper East Side,Open Streets,1615.37094006,0.30594146592,651.175465596585
